FrameId	Name	Kegg	InChI	Smiles	Gibbs-0
CPD-16884	<i>N</i>-guanyl-1,7-diaminoheptane	NIL	InChI=1S/C8H20N4/c9-6-4-2-1-3-5-7-12-8(10)11/h1-7,9H2,(H4,10,11,12)/p+2	C([N+]=C(N)N)CCCCCC[N+]	260.08643
26-DIFLUORO-4-HYDROXYPHENYLPYRUVATE	(2,6-difluoro-4-hydroxyphenyl)pyruvate	NIL	InChI=1S/C9H6F2O4/c10-6-1-4(12)2-7(11)5(6)3-8(13)9(14)15/h1-2,12H,3H2,(H,14,15)/p-1	C(C(CC1(C(=CC(=CC(F)=1)O)F))=O)([O-])=O	-146.21646
CPD-7690	<i>meso</i>-2,6-diamino-3-hydroxypimelate	NIL	InChI=1S/C7H14N2O5/c8-3(6(11)12)1-2-4(10)5(9)7(13)14/h3-5,10H,1-2,8-9H2,(H,11,12)(H,13,14)/t3-,4?,5+/m0/s1	C(=O)([O-])C([N+])CCC(C([N+])C(=O)[O-])O	-57.924316
CPD0-2497	nitrofurazone	NIL	InChI=1S/C6H6N4O4/c7-6(11)9-8-3-4-1-2-5(14-4)10(12)13/h1-3H,(H3,7,9,11)/b8-3+	C(=NNC(N)=O)C1(=CC=C(O1)[N+](=O)[O-])	-55.71328
CPD-19407	2,3-dihydroxy-4-methoxybenzoate	NIL	InChI=1S/C8H8O5/c1-13-5-3-2-4(8(11)12)6(9)7(5)10/h2-3,9-10H,1H3,(H,11,12)/p-1	COC1(C=CC(=C(O)C(O)=1)C([O-])=O)	-85.25422
CPD-7648	o-methylhydroxylamine	NIL	InChI=1S/CH5NO/c1-3-2/h2H2,1H3	CON	26.545603
KETOPYRUVATE	ketopyruvate	NIL	InChI=1S/C3H2O4/c4-1-2(5)3(6)7/h1H,(H,6,7)/p-1	C(=O)C(C(=O)[O-])=O	-127.02095
2-METHOXYETHYLAMINE	2-methoxyethylamine	NIL	InChI=1S/C3H9NO/c1-5-3-2-4/h2-4H2,1H3/p+1	C(C[N+])OC	72.53915
CPD-12278	<i>N</i>-formylmaleamate	C18232	InChI=1S/C5H5NO4/c7-3-6-4(8)1-2-5(9)10/h1-3H,(H,9,10)(H,6,7,8)/p-1/b2-1-	C(C(=O)NC=O)=CC(=O)[O-]	-82.42758
BUTYRAMIDE	butyramide	NIL	InChI=1S/C4H9NO/c1-2-3-4(5)6/h2-3H2,1H3,(H2,5,6)	CCCC(N)=O	51.370094
CPD-7301	validamine	NIL	InChI=1S/C7H15NO4/c8-4-1-3(2-9)5(10)7(12)6(4)11/h3-7,9-12H,1-2,8H2/p+1/t3-,4+,5-,6+,7+/m1/s1	C(C1(C(C(C(C(C1)[N+])O)O)O))O	20.775866
CPD-19090	2-hydroxy-2-methylbutanoate	NIL	InChI=1S/C5H10O3/c1-3-5(2,8)4(6)7/h8H,3H2,1-2H3,(H,6,7)/p-1	CCC(O)(C)C(=O)[O-]	-31.031973
