FrameId	Name	dG	Equation
MANDELATE-RACEMASE-RXN	EC 5.1.2.2	0.0	(R)-mandelate  ->  (S)-mandelate
L-ARABINONATE-DEHYDRATASE-RXN	EC 4.2.1.25	-8.166992	L-arabinonate  ->  2-dehydro-3-deoxy-L-arabinonate + H2O
RXN-7	RXN-7	-13.22287	2-amino-4-carboxypyrimidine + L-serine + H+  ->  lathyrine + CO2 + H2O
L-LYSINE-OXIDASE-RXN	EC 1.4.3.14	-22.962997	L-lysine + H2O + oxygen  ->  6-amino-2-oxohexanoate + ammonium + hydrogen peroxide
RXN-12213	RXN-12213	-95.207	4-hydroxylaminobenzoate + oxygen  ->  4-nitrobenzoate + H2O
GALACTARDEHYDRA-RXN	EC 4.2.1.42	-8.166992	D-galactarate  ->  5-dehydro-4-deoxy-D-glucarate + H2O
RXN-14049	RXN-14049	-2.0711174	L-homoserine  ->  (2Z)-2-aminobut-2-enoate + H+ + H2O
ACETOOHBUTSYN-RXN	EC 2.2.1.6	-9.695862	pyruvate + 2-oxobutanoate + H+  ->  (S)-2-aceto-2-hydroxybutanoate + CO2
RXN-16306	RXN-16306	-3.2341156	O-[5-(hydroxynitroso)-3-(oxidonitroso)-2-oxocyclohexylidenenitroso]oxidanidolate  ->  O-[5-(oxidonitroso)-4-oxocyclohex-2-en-1-ylidenenitroso]oxidanidolate + nitrite + H+
AMACETOXID-RXN	EC 1.4.3.21	-21.503006	aminoacetone + H2O + oxygen  ->  methylglyoxal + ammonium + hydrogen peroxide
RXN-9559	RXN-9559	-9.846996	norfuraneol + formaldehyde  ->  4-hydroxy-5-methyl-2-methylene-3(2H)-furanone + H2O
RXN-14850	RXN-14850	2.319992	D-altropyranose  <-->  aldehydo-D-altrose
LACTATE-2-MONOOXYGENASE-RXN	EC 1.1.3.j	-25.220001	(S)-lactate + oxygen  ->  pyruvate + hydrogen peroxide
RXN0-6981	EC 3.4.13.18	-1.2130127	L-alanyl-L-glutamate + H2O  ->  L-alanine + L-glutamate
2.6.1.72-RXN	EC 2.6.1.72	-2.6858978	2-oxoglutarate + D-(4-hydroxyphenyl)glycine  <-->  L-glutamate + 2-(4-hydroxyphenyl)-2-oxoacetate
ACETYLSPERMIDINE-DEACETYLASE-RXN	EC 3.5.1.48	-3.8553772	N8-acetylspermidine + H2O  =  spermidine + acetate
RXN-11318	EC 3.5.1.106	-15.4171295	N-formylmaleamate + H2O  ->  maleamate + formate + H+
RXN-13100	EC 1.1.3.-	-52.804108	2-(dihydroxymethyl)furan + oxygen  ->  2-furoate + hydrogen peroxide + H+
TYROSINE-PHENOL-LYASE-RXN	EC 4.1.99.2	0.35287666	L-tyrosine + H2O  =  phenol + pyruvate + ammonium
RXN-12613	EC 3.5.99.2	2.4770126	aminomethylpyrimidine + H2O  ->  4-amino-2-methyl-5-pyrimidinemethanol + ammonium
METHYLGUANIDINASE-RXN	EC 3.5.3.16	15.267002	methylguanidine + H2O  ->  urea + methylamine
RXN0-3921	EC 1.4.3.M3	-23.962997	gamma-glutamyl-L-putrescine + H2O + oxygen  ->  4-(gamma-L-glutamylamino)butanal + hydrogen peroxide + ammonium
RXN-14253	RXN-14253	-68.59823	5-nitrosalicylate + oxygen  ->  4-nitro-6-oxohepta-2,4-dienedioate + H+
PROTOCATECHUATE-45-DIOXYGENASE-RXN	EC 1.13.11.8	-73.25825	protocatechuate + oxygen  ->  4-carboxy-2-hydroxymuconate-6-semialdehyde + H+
RXN-13635	EC 1.14.11.45	-112.29004	L-isoleucine + 2-oxoglutarate + oxygen  ->  (2S,3R,4S)-4-hydroxy-L-isoleucine + succinate + CO2
